Total Population,Male Population,Female Population,Median Age,Population 25+ (Total),Bachelor's Degree,Master's Degree,Professional Degree,Doctorate Degree,Median Household Income,Per Capita Income,Individuals Below Poverty,Civilian Labor Force,Unemployed Persons,Median Home Value,Total Housing Units,Occupied Housing Units (Total),Owner-Occupied Housing Units,Renter-Occupied Housing Units,Total Noninstitutionalized Population (16+),Population With Any Disability,Population With Hearing Difficulty,Population With Vision Difficulty,state,state_abbrev,Male (%) of Population,Female (%) of Population,(%) of Population 25+,(%) with Bachelor's Degree,(%) with Master's Degree,(%) with Doctorate Degree,(%) with Professional Degree,Bachelors+ (%),(%) of Population below Poverty,(%) of Unemployed Persons,Employed Persons,Employment Rate,Home Ownership Rate (%),Renting Rate (%),Disability Rate (%)
4799277,2328592,2470685,38.1,3193338,458393,187852,45646,30801,43253,23680,870631,2244093,241930,122500,1838683,1838683,1281604,557079,4716915,2268448,154595,1058,1,AL,48.52,51.48,66.54,14.35,5.88,0.96,1.43,22.63,27.26,7.58,2951408,131.52,69.7,30.3,47.26645284279278
720316,375798,344518,33.6,454301,80447,31988,7431,5068,70760,32651,69514,376305,32939,241800,251899,251899,160803,91096,696885,356246,28278,308,2,AK,52.17,47.83,63.07,17.71,7.04,1.12,1.64,27.5,15.3,7.25,421362,111.97,63.84,36.16,49.4569050250168
6479703,3221367,3258336,36.3,4211194,716734,296979,69819,48203,49774,25358,1131901,3038226,316360,165100,2370289,2370289,1527475,842814,6373367,3132045,227713,1252,4,AZ,49.71,50.29,64.99,17.02,7.05,1.14,1.66,26.87,26.88,7.51,3894834,128.19,64.44,35.56,48.33624318892394
2933369,1439862,1493507,37.5,1936554,257157,93456,23201,15503,40768,22170,547328,1366667,121235,107300,1129723,1129723,753793,375930,2879435,1403511,99867,1444,5,AR,49.09,50.91,66.02,13.28,4.83,0.8,1.2,20.1,28.26,6.26,1815319,132.83,66.72,33.28,47.846384140556474
37659181,18726468,18932713,35.4,24455010,4753446,1821325,565907,360357,61094,29527,5885417,18804519,2168665,366400,12542460,12542460,6939104,5603356,37130876,18313932,1291773,9621,6,CA,49.73,50.27,64.94,19.44,7.45,1.47,2.31,30.67,24.07,8.87,22286345,118.52,55.32,44.68,48.63072301014725
5119329,2568343,2550986,36.1,3388783,799431,330767,72800,51826,58433,31109,660874,2741518,231741,236200,1977591,1977591,1292645,684946,5025295,2495121,174346,1603,8,CO,50.17,49.83,66.2,23.59,9.76,1.53,2.15,37.03,19.5,6.84,3157042,115.16,65.36,34.64,48.73921953443508
908446,439985,468461,38.9,611728,105108,50483,11201,9745,59878,29819,103633,463216,41207,235800,335707,335707,243223,92484,893326,429139,28515,281,10,DE,48.43,51.57,67.34,17.18,8.25,1.59,1.83,28.86,16.94,6.74,570521,123.17,72.45,27.55,47.238801205575236
619371,293104,326267,33.8,430307,97641,74657,36137,16848,65830,45290,109200,354171,38994,445200,263649,263649,111070,152579,608630,285244,18622,140,11,DC,47.32,52.68,69.47,22.69,17.35,3.92,8.4,52.35,25.38,9.06,391313,110.49,42.13,57.87,46.053819116490764
3583561,1745364,1838197,40.2,2443761,498124,283662,70744,38390,69461,37892,354348,1950121,190709,278900,1355849,1355849,919488,436361,3526628,1710131,100869,766,9,CT,48.7,51.3,68.19,20.38,11.61,1.57,2.89,36.46,14.5,7.8,2253052,115.53,67.82,32.18,47.72155406312324
19091156,9332589,9758567,41.0,13317503,2253937,854996,265198,141781,46956,26236,3052807,9298664,1096028,160200,7158980,7158980,4806997,2351983,18778532,9095765,549855,4025,12,FL,48.88,51.12,69.76,16.92,6.42,1.06,1.99,26.4,22.92,8.23,12221475,131.43,67.15,32.85,47.64386713931833
9810417,4793940,5016477,35.6,6323120,1121880,453219,121272,71463,49179,25182,1736680,4799681,544802,151300,3518097,3518097,2292030,1226067,9610713,4635945,345518,3166,13,GA,48.87,51.13,64.45,17.74,7.17,1.13,1.92,27.96,27.47,8.62,5778318,120.39,65.15,34.85,47.25533073670569
1583364,793708,789656,34.9,1000946,172377,54722,13830,9964,46767,22568,240298,763379,67189,162100,579797,579797,404734,175063,1562894,778840,60389,600,16,ID,50.13,49.87,63.22,17.22,5.47,1.0,1.38,25.07,24.01,6.71,933757,122.32,69.81,30.19,49.18894202470184
1376298,691426,684872,38.3,938217,186379,63311,20481,12321,67402,29305,149531,688820,48748,503100,449771,449771,259270,190501,1323796,648430,45817,214,15,HI,50.24,49.76,68.17,19.87,6.75,1.31,2.18,30.11,15.94,5.2,889469,129.13,57.64,42.36,47.11406977268005
12848554,6304099,6544455,36.8,8509739,1657947,739404,180829,97616,56797,29666,1772333,6698936,700616,182300,4772723,4772723,3220038,1552685,12668117,6187083,418841,3577,17,IL,49.06,50.94,66.23,19.48,8.69,1.15,2.12,31.44,20.83,8.23,7809123,116.57,67.47,32.53,48.15392455835886
6514861,3206295,3308566,37.1,4258878,632094,258886,55880,40860,48248,24635,969881,3279355,315476,122800,2481793,2481793,1736481,745312,6414808,3142734,218297,1994,18,IN,49.22,50.78,65.37,14.84,6.08,0.96,1.31,23.19,22.77,7.41,3943402,120.25,69.97,30.03,48.23946358947643
3062553,1516152,1546401,38.1,2026719,359520,112200,29132,20867,51843,27027,367414,1647943,94913,124300,1226547,1226547,885942,340605,3016863,1492203,100643,551,19,IA,49.51,50.49,66.18,17.74,5.54,1.03,1.44,25.74,18.13,4.68,1931806,117.23,72.23,27.77,48.72415269221463
2868107,1425049,1443058,36.0,1850010,363386,143301,32858,20270,51332,26929,382820,1491412,104341,128400,1110440,1110440,749737,360703,2808883,1383654,103053,886,20,KS,49.69,50.31,64.5,19.64,7.75,1.1,1.78,30.26,20.69,5.64,1745669,117.05,67.52,32.48,48.24276081750088
4361333,2145986,2215347,38.2,2920579,372738,183161,47346,25428,43036,23462,796202,2059754,201987,120400,1694996,1694996,1159188,535808,4273751,2084657,142943,1453,21,KY,49.2,50.8,66.97,12.76,6.27,0.87,1.62,21.53,27.26,6.92,2718592,131.99,68.39,31.61,47.798620284211275
4567968,2234939,2333029,36.0,2977813,433526,144867,45547,26235,44874,24442,846780,2187544,192166,138900,1707852,1707852,1143500,564352,4463986,2154239,158537,1940,22,LA,48.93,51.07,65.19,14.56,4.86,0.88,1.53,21.83,28.44,6.45,2785647,127.34,66.96,33.04,47.159678001246945
1328320,649600,678720,43.2,943281,169061,66849,16746,10964,48453,26824,175624,700965,53866,174500,553823,553823,397512,156311,1313789,641294,34427,349,23,ME,48.9,51.1,71.01,17.92,7.09,1.16,1.78,27.95,18.62,5.71,889415,126.88,71.78,28.22,48.27857745121658
5834299,2824531,3009768,38.0,3922827,789022,445990,114423,94483,73538,36354,558329,3186765,260567,292700,2146240,2146240,1450893,695347,5737052,2756347,186697,1630,24,MD,48.41,51.59,67.24,20.11,11.37,2.41,2.92,36.81,14.23,6.64,3662260,114.92,67.6,32.4,47.24384197655965
6605058,3197502,3407556,39.2,4510714,1006270,538224,124858,106970,66866,35763,725351,3631277,322730,330100,2530147,2530147,1585259,944888,6524851,3151242,187335,1621,25,MA,48.41,51.59,68.29,22.31,11.93,2.37,2.77,39.38,16.08,7.15,4187984,115.33,62.65,37.35,47.70952806167637
9886095,4851302,5034793,39.1,6594586,1049930,486283,106937,67068,48411,25681,1625982,4859417,616469,121700,3823280,3823280,2757062,1066218,9773019,4773417,299402,2758,26,MI,49.07,50.93,66.71,15.92,7.37,1.02,1.62,25.93,24.66,9.35,5978117,123.02,72.11,27.89,48.28415061760988
5347740,2655658,2692082,37.6,3562331,781186,263953,73760,42511,59836,30913,598391,2958989,210815,187900,2107232,2107232,1528272,578960,5288893,2621453,179462,1183,27,MN,49.66,50.34,66.61,21.93,7.41,1.19,2.07,32.6,16.8,5.92,3351516,113.27,72.53,27.47,49.0198289370837
2976872,1445356,1531516,36.2,1918110,246100,98828,24512,16545,39031,20618,653321,1343584,149148,99900,1088073,1088073,755132,332941,2908862,1393749,105199,797,28,MS,48.55,51.45,64.43,12.83,5.15,0.86,1.28,20.12,34.06,7.78,1768962,131.66,69.4,30.6,46.81924516741062
6007182,2941951,3065231,38.0,4002608,655633,282661,66028,42737,47380,25649,900929,3038261,267644,137000,2360131,2360131,1613941,746190,5892726,2867168,195977,1682,29,MO,48.97,51.03,66.63,16.38,7.06,1.07,1.65,26.16,22.51,6.69,3734964,122.93,68.38,31.62,47.72900171827656
998554,501549,497005,39.9,677947,133788,40631,12099,7908,46230,25373,148528,514717,37702,184200,405525,405525,276939,128586,982993,491561,31337,195,30,MT,50.23,49.77,67.89,19.73,5.99,1.17,1.78,28.68,21.91,5.56,640245,124.39,68.29,31.71,49.22728265071294
1841625,913478,928147,36.3,1195699,230833,76357,20266,13843,51672,26899,228789,1006226,57525,128000,725787,725787,486533,239254,1812953,896209,66662,360,31,NE,49.6,50.4,64.93,19.31,6.39,1.16,1.69,28.54,19.13,4.81,1138174,113.11,67.04,32.96,48.66403312292134
2730066,1377138,1352928,36.6,1816959,268804,94708,28645,13976,52800,26589,403314,1404746,175142,169100,999016,999016,566921,432095,2694751,1348581,93914,1070,32,NV,50.44,49.56,66.55,14.79,5.21,0.77,1.58,22.35,22.2,9.64,1641817,116.88,56.75,43.25,49.39737720626534
1319171,651106,668065,41.5,913191,194439,84598,15880,12654,64916,33134,110859,742439,51670,239900,518245,518245,370173,148072,1304372,642853,34923,259,33,NH,49.36,50.64,69.22,21.29,9.26,1.39,1.74,33.68,12.14,5.66,861521,116.04,71.43,28.57,48.731589763571215
8832406,4304817,4527589,39.1,6007746,1336219,585221,144506,85702,71629,36027,900583,4669577,472094,327100,3186418,3186418,2091065,1095353,8723211,4232319,274642,2135,34,NJ,48.74,51.26,68.02,22.24,9.74,1.43,2.41,35.81,14.99,7.86,5535652,118.55,65.62,34.38,47.9180757768608
2069706,1024290,1045416,36.7,1347229,198521,103824,21783,23542,44927,23763,413801,970934,94111,160000,761938,761938,523344,238594,2035611,997967,72576,720,35,NM,49.49,50.51,65.09,14.74,7.71,1.75,1.62,25.81,30.71,6.99,1253118,129.06,68.69,31.31,48.21781451085323
19487053,9442496,10044557,38.1,13211060,2491222,1357039,357336,180903,58003,32382,2903982,9984364,921607,288200,7234743,7234743,3923505,3311238,19231242,9276726,595676,4964,36,NY,48.46,51.54,67.79,18.86,10.27,1.37,2.7,33.2,21.98,6.98,12289453,123.09,54.23,45.77,47.60456083328762
9651380,4702565,4948815,37.6,6408022,1154451,420219,96472,76267,46334,25284,1643389,4762407,527430,153600,3715565,3715565,2466388,1249177,9450222,4547790,318125,2916,37,NC,48.72,51.28,66.39,18.02,6.56,1.19,1.51,27.27,25.65,8.23,5880592,123.48,66.38,33.62,47.12061902028518
689781,349947,339834,36.4,450429,88476,23474,6122,4470,53741,29732,79433,384229,12617,132400,287270,287270,189805,97465,674657,340506,23219,129,38,ND,50.73,49.27,65.3,19.64,5.21,0.99,1.36,27.21,17.63,2.8,437812,113.95,66.07,33.93,49.36436347188455
11549590,5642666,5906924,39.0,7746520,1227819,521105,122484,77052,48308,26046,1773853,5849339,582953,130800,4557655,4557655,3074792,1482863,11374029,5532977,361311,3296,39,OH,48.86,51.14,67.07,15.85,6.73,0.99,1.58,25.15,22.9,7.53,7163567,122.47,67.46,32.54,47.9062633392181
3785742,1873875,1911867,36.2,2464298,387885,135398,33558,21616,45339,24208,618683,1814246,127842,112800,1444081,1444081,968736,475345,3702515,1812411,134150,1644,40,OK,49.5,50.5,65.09,15.74,5.49,0.88,1.36,23.47,25.11,5.19,2336456,128.78,67.08,32.92,47.87465706854825
3868721,1914014,1954707,38.7,2643833,494922,201237,52789,36357,50229,26809,614778,1958085,221191,238000,1516456,1516456,940143,576313,3829588,1884406,119711,1767,41,OR,49.47,50.53,68.34,18.72,7.61,1.38,2.0,29.7,23.25,8.37,2422642,123.73,62.0,38.0,48.7087593031392
12731381,6211805,6519576,40.3,8712762,1468125,656458,162842,112239,52548,28502,1638820,6496409,581533,164700,4958427,4958427,3462512,1495915,12525314,6077128,370009,3087,42,PA,48.79,51.21,68.44,16.85,7.53,1.29,1.87,27.54,18.81,6.67,8131229,125.16,69.83,30.17,47.73345483887412
1051695,508455,543240,39.6,712241,134313,62811,15593,10473,56361,30469,137244,565990,56125,247400,410058,410058,250814,159244,1035516,499344,28621,127,44,RI,48.35,51.65,67.72,18.86,8.82,1.47,2.19,31.34,19.27,7.88,656116,115.92,61.17,38.83,47.479925263503205
4679602,2276305,2403297,38.1,3118029,501193,205214,44061,30814,44779,23943,820308,2261467,258444,137400,1780251,1780251,1230181,550070,4578525,2198566,151303,1083,45,SC,48.64,51.36,66.63,16.07,6.58,0.99,1.41,25.06,26.31,8.29,2859585,126.45,69.1,30.9,46.98190145230299
825198,414382,410816,36.9,537888,98423,29152,7536,5623,49495,25740,112086,441241,22250,132400,323136,323136,219872,103264,807439,403245,30434,264,46,SD,50.22,49.78,65.18,18.3,5.42,1.05,1.4,26.16,20.84,4.14,515638,116.86,68.04,31.96,48.8664538692532
6402387,3120796,3281591,38.2,4292718,657028,251451,67515,47554,44298,24409,1101732,3123630,316682,139200,2475195,2475195,1677205,797990,6300636,3049755,205978,1901,47,TN,48.74,51.26,67.05,15.31,5.86,1.11,1.57,23.84,25.67,7.38,3976036,127.29,67.76,32.24,47.63465563703038
25639373,12729156,12910217,33.8,16080307,2850532,1030911,243470,161082,51900,26019,4416829,12589173,1020132,128900,8886471,8886471,5623552,3262919,25158370,12356944,987631,9119,48,TX,49.65,50.35,62.72,17.73,6.41,1.0,1.51,26.65,27.47,6.34,15060175,119.63,63.28,36.72,48.195187924447296
625904,308544,317360,42.0,433401,91084,42865,9776,7141,54267,29167,70873,347896,23546,216800,257004,257004,182537,74467,619732,305375,16133,227,50,VT,49.3,50.7,69.24,21.02,9.89,1.65,2.26,34.81,16.35,5.43,409855,117.81,71.02,28.98,48.789430967049256
2813673,1414267,1399406,29.6,1610602,327448,112367,26030,21588,58821,23873,350205,1377158,101449,212800,886770,886770,621854,264916,2786143,1394040,133042,917,49,UT,50.26,49.74,57.24,20.33,6.98,1.34,1.62,30.26,21.74,6.3,1509153,109.58,70.13,29.87,49.5452030139963
8100653,3977926,4122727,37.5,5427938,1113869,580019,130878,86267,63907,33493,887595,4188480,303129,244600,3022739,3022739,2033102,989637,7881300,3804768,259696,1743,51,VA,49.11,50.89,67.01,20.52,10.69,1.59,2.41,35.21,16.35,5.58,5124809,122.35,67.26,32.74,46.968657958809004
6819579,3401539,3418040,37.3,4575140,932008,370861,92112,63021,59478,30742,893211,3476885,327155,262100,2629126,2629126,1661427,967699,6711488,3318024,226020,2517,53,WA,49.88,50.12,67.09,20.37,8.11,1.38,2.01,31.87,19.52,7.15,4247985,122.18,63.19,36.81,48.654381744093
1853619,913201,940418,41.5,1296592,146020,64710,16721,10046,41043,22966,321546,824983,69351,98500,741390,741390,544059,197331,1824020,893977,53213,562,54,WV,49.27,50.73,69.95,11.26,4.99,0.77,1.29,18.32,24.8,5.35,1227241,148.76,73.38,26.62,48.2287352471031
5706871,2832906,2873965,38.7,3827815,679310,250094,58613,38711,52413,27523,723730,3079100,239464,167100,2288332,2288332,1558846,729486,5630579,2782775,180000,1591,55,WI,49.64,50.36,67.07,17.75,6.53,1.01,1.53,26.82,18.91,6.26,3588351,116.54,68.12,31.88,48.76183463757986
570134,291223,278911,36.8,376529,62047,21918,4776,4167,57406,28902,63743,306583,16760,185900,222846,222846,156202,66644,560397,284426,20403,191,56,WY,51.08,48.92,66.04,16.48,5.82,1.11,1.27,24.67,16.93,4.45,359769,117.35,70.09,29.91,49.88757029049311
3682966,1763291,1919675,37.5,2438932,409750,103812,30030,19486,19624,11068,1644128,1346962,247824,121200,1230868,1230868,862880,367988,3656732,1743325,109527,1421,72,PR,47.88,52.12,66.22,16.8,4.26,0.8,1.23,23.09,67.41,10.16,2191108,162.67,70.1,29.9,47.33481112777039
